t,B_L,B_M,B_N,Vn_i,Vn_e,Vn_he
2019-01-27 12:15:13.208,8.8468485,-6.268637,-1.8741084,-40.88607,1.969916,
2019-01-27 12:15:13.270,8.2449665,-6.9780874,-1.7961681,-59.42376,-23.595615,
2019-01-27 12:15:13.333,7.7228055,-7.637706,-2.0160375,-44.00239,-14.490499,
2019-01-27 12:15:13.395,7.581576,-7.9898114,-2.246562,-7.644004,58.974342,
2019-01-27 12:15:13.458,7.2210298,-8.295807,-2.1042902,-56.308872,-93.99719,
2019-01-27 12:15:13.520,6.4658637,-8.836338,-2.004768,-46.983784,-35.190647,
2019-01-27 12:15:13.583,5.999081,-9.013442,-1.8491632,-11.38644,13.369242,
2019-01-27 12:15:13.645,5.3672805,-9.2175045,-1.66164,-4.192548,1.65839,
2019-01-27 12:15:13.708,4.375396,-9.624911,-1.5492481,-20.708263,-16.576632,
2019-01-27 12:15:13.770,3.5274465,-9.844923,-1.3964897,-57.72528,-77.62957,
2019-01-27 12:15:13.833,2.6340458,-9.945311,-1.3506899,-39.26717,-30.118896,
2019-01-27 12:15:13.895,2.0083132,-9.934275,-1.2792695,-28.387379,-15.142848,
2019-01-27 12:15:13.958,1.6605662,-9.924677,-1.121924,-31.413403,-20.429596,
2019-01-27 12:15:14.020,1.0840468,-10.073972,-1.0201105,-42.470913,-38.142925,
2019-01-27 12:15:14.083,0.40927508,-10.126046,-0.7143864,-45.47874,-38.382256,
2019-01-27 12:15:14.145,-0.3784629,-10.181262,-0.2979201,-40.557545,-35.42322,
2019-01-27 12:15:14.208,-1.0327835,-10.118968,-0.068354964,-37.495064,-35.970375,
2019-01-27 12:15:14.270,-1.5434813,-10.085262,-0.137323,-48.933514,-49.720177,
2019-01-27 12:15:14.333,-1.8919373,-10.120285,-0.2879899,-52.574005,-50.033222,
2019-01-27 12:15:14.395,-2.1746607,-10.241695,0.21365985,-52.693005,-44.956585,
2019-01-27 12:15:14.458,-2.6823742,-10.429803,0.6678626,-48.99476,-42.420216,
2019-01-27 12:15:14.520,-3.1338964,-10.674629,0.64859724,-50.075558,-53.8191,
2019-01-27 12:15:14.583,-3.3507795,-10.867166,0.57213336,-56.861683,-65.40541,
2019-01-27 12:15:14.645,-3.4256377,-10.815236,0.46656725,-48.77634,-33.53244,
2019-01-27 12:15:14.708,-3.4329753,-10.99028,0.36444062,-34.784126,-20.100601,
2019-01-27 12:15:14.770,-3.546756,-11.275031,0.27840286,-28.566717,-25.516413,
2019-01-27 12:15:14.833,-3.8797612,-11.421024,0.38463914,-41.46372,-46.08937,
2019-01-27 12:15:14.895,-4.25907,-11.371951,0.51240265,-44.651897,-26.203524,
2019-01-27 12:15:14.958,-4.494576,-11.292231,0.6669171,-36.59887,-17.970974,
2019-01-27 12:15:15.020,-4.6717687,-11.217508,0.5902899,-24.865215,-7.2792764,
2019-01-27 12:15:15.083,-4.961796,-11.204593,0.4773615,-34.60656,-28.508152,
2019-01-27 12:15:15.145,-5.275417,-11.108683,0.73980296,-45.289932,-32.600716,
2019-01-27 12:15:15.208,-5.3352246,-11.0353,0.80024225,-34.833954,-9.430693,
2019-01-27 12:15:15.270,-5.1919184,-11.185418,0.46699286,-16.42093,5.598923,
2019-01-27 12:15:15.333,-5.1720076,-11.289133,0.1761667,-20.8834,-30.689539,
2019-01-27 12:15:15.395,-5.1087117,-11.05971,-0.0019686108,-50.209644,-52.20014,
2019-01-27 12:15:15.458,-5.221789,-10.690995,0.10109002,-48.633766,-13.18912,
2019-01-27 12:15:15.520,-5.4401755,-10.336753,0.3572422,-5.4299207,-9.753008,
2019-01-27 12:15:15.583,-5.525579,-9.97883,0.71408874,-11.3382845,-8.45035,
2019-01-27 12:15:15.645,-5.3174787,-9.420681,0.21988311,-44.287548,-28.559599,
2019-01-27 12:15:15.708,-5.265096,-9.269605,-0.8411796,-54.389114,-56.9572,
2019-01-27 12:15:15.770,-5.5620146,-9.284294,-1.2344519,-27.170738,-20.702324,
2019-01-27 12:15:15.833,-5.5920963,-9.180254,-1.2895392,-5.83273,11.385144,
2019-01-27 12:15:15.895,-5.39793,-8.749068,-1.2619644,-17.346506,-30.529655,
2019-01-27 12:15:15.958,-5.4516063,-8.382054,-1.2707701,-41.36317,-51.046616,
2019-01-27 12:15:16.020,-5.8665056,-8.333286,-1.2755096,-10.437385,44.281513,
2019-01-27 12:15:16.083,-6.3394547,-8.372471,-1.2882384,43.631577,50.872555,
2019-01-27 12:15:16.145,-6.552979,-8.355928,-1.1425029,22.79614,31.984055,
2019-01-27 12:15:16.208,-6.5444484,-8.252576,-0.8430874,-40.366577,-31.52985,
2019-01-27 12:15:16.270,-6.6670866,-8.131976,-0.6301742,-40.72747,-7.8075924,
2019-01-27 12:15:16.333,-6.8801227,-8.13833,-0.5525784,10.673682,66.88206,
2019-01-27 12:15:16.395,-7.2452416,-8.135497,-0.4106907,25.069094,51.358273,
2019-01-27 12:15:16.458,-7.541054,-8.052059,-0.4374403,1.1350923,3.8541126,
2019-01-27 12:15:16.520,-7.645729,-7.997638,-0.49445626,-9.702323,-23.667038,
2019-01-27 12:15:16.583,-7.7153077,-7.930263,-0.25501832,11.077572,76.19784,
2019-01-27 12:15:16.645,-7.948565,-8.034095,-0.06310288,21.69682,115.78065,
2019-01-27 12:15:16.708,-8.149075,-8.194208,0.48570627,16.307793,26.509512,
2019-01-27 12:15:16.770,-8.177575,-8.487025,0.9372284,7.444799,-11.960617,
2019-01-27 12:15:16.833,-7.7136154,-8.298269,0.9823486,3.1698747,79.17707,
2019-01-27 12:15:16.895,-7.0933166,-7.793748,0.863214,32.482094,63.761234,
2019-01-27 12:15:16.958,-6.750966,-7.1653132,0.50472283,34.9526,50.44732,
2019-01-27 12:15:17.020,-7.049688,-6.863117,0.3545813,6.054471,14.754771,
2019-01-27 12:15:17.083,-7.515144,-6.913867,0.4952309,0.9556097,17.37437,
2019-01-27 12:15:17.145,-7.6655064,-7.0457997,0.59978175,25.192863,63.395668,
2019-01-27 12:15:17.208,-7.574414,-7.112958,0.42727646,36.10419,63.306496,
2019-01-27 12:15:17.270,-7.4007754,-7.1353836,0.4070984,11.878659,12.761619,
2019-01-27 12:15:17.333,-7.260977,-7.295289,0.6344263,-14.576836,-8.475499,
2019-01-27 12:15:17.395,-7.00584,-7.4457235,0.55266577,8.610951,69.88207,
2019-01-27 12:15:17.458,-6.8326855,-7.4895134,0.67489666,42.25116,43.61427,
2019-01-27 12:15:17.520,-6.784596,-7.6286454,0.7954621,14.791131,13.29371,
2019-01-27 12:15:17.583,-6.6704288,-7.698784,0.9946782,-20.457096,-13.492294,
2019-01-27 12:15:17.645,-6.4381614,-7.8689528,1.1226443,-8.369558,19.712353,
2019-01-27 12:15:17.708,-6.1042943,-8.053513,0.9941084,-2.9598746,46.45542,
2019-01-27 12:15:17.770,-5.900271,-8.24627,0.8438305,-2.2078001,58.083088,
2019-01-27 12:15:17.833,-5.7995872,-8.330563,0.7722777,-12.377823,-32.629063,
2019-01-27 12:15:17.895,-5.609209,-8.214831,0.7409165,-24.220339,-44.91062,
2019-01-27 12:15:17.958,-5.2959223,-8.077234,0.69198394,-5.860048,88.61085,
2019-01-27 12:15:18.020,-4.9742246,-7.8643274,0.71287566,12.384954,67.80561,
2019-01-27 12:15:18.083,-4.767402,-7.6559753,0.7635121,6.1407723,3.3528874,
2019-01-27 12:15:18.145,-4.5563765,-7.5269513,0.8851832,3.95985,-31.335052,
2019-01-27 12:15:18.208,-4.3346677,-7.3774996,1.0314457,16.538866,131.69489,
